Paragraph,Clause Classification,Explanation,Clause Type,Clause Meaning,Clause Example
3 We   the Bank  undertake to pay to RCF any money so demanded notwithstanding any dispute or disputes raised by the said Supplier  Contractor in any suit or proceedings pending before any court or tribunal relating thereto as our liability und er this present being absolute and unequivocal The payment so made by us under this Guarantee shall be valid discharge of our liability for payment there under and the said Supplier  Contractor shall have no claim against us for making such payment,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Financial Obligation,Guarantees financial payments such as advance payments or loan repayments.,"This guarantee secures an advance payment of $1,000,000 to the contractor."
5 In order to give full effect to this guarantee RCF will be entitled to act as if the BANK were the principal debtor and the BANK hereby waives all rights of surety ship,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
6 Our liability under this bank guarantee is restricted to Rs  Rupees  and shall remain in force up to  and thereafter till the expiry of the extended peri od if any hereinafter Validity period Unless a demand is made under this guarantee on us in writing at any time from the date of issue of the guarantee till the expiry of the Validity period we shall be discharged from all liabilities under this guar antee thereafter,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
7 The claim if any under this guarantee shall be lodged at address of BANK  Branch ,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
8 This guarantee will not be discharged due to change in the constitution in the Bank or the said Supplier  Contractor or the provision of the contract between Supplier  Contractor and RCF,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
9 The BANK hereby agrees that the Courts in Mumbai shall have exclusive jurisdiction in any matter of dispute between RCF and the Bank and the Bank hereby agree s to address all the future correspondence in regard to this bank guarantee to Chief Finance Manager Rashtriya Chemicals and Fertilizers Limited Administrative Building Mahul Road Chembur Mumbai 400 074 INDIA,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
10 We have the power to issue this Gua rantee in your favour under the Charter of our Bank and the undersigned has full power to execute this Guarantee under the Power of Attorney granted to him by the Bank,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
11 We  the Bank lastly undertake not to revoke this guarantee during it s currency except with the previous consent of the RCF in writing,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
E M D BANK GUARANTEE FORMAT WHEREAS Ms     Name  Address of the Firm having their registered office at     Address of the firms Registered office Hereinafter called the bidder wish to participate in the tender No   for    NewSpace India Limited NSIL and WHEREAS a Bank Guarantee for Hereinafter called the Beneficiary Rs   Amount of EMD valid till    Mention here date of  validity of this Guarantee which from the date of the submission of Tenders offer which is required to be submitted by the bidder along with the tender We    Name of the Bank and address of the Branch giving the Bank Guarantee having our registered office at     address of Banks Registered office hereby give this Bank Guarantee No    dated   and hereby agree unequivocally and unconditionally to pay immediately on demand in writing from the NewSpace India Limited  or any officer authorized by it in this behalf any  amount not exceeding Rs Amount  of EMD Rupees    In,Onerous,"Onerous clause due to the following reason(s): The clause requires the bank to honor the guarantee without placing any conditions, which removes the bankÃ¢â‚¬â„¢s ability to verify legitimacy before paying.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
We   Name of the Bank also agree that withdrawal of the tender or part thereof by t he bidder within its validity or Non submission of Security Deposit by the bidder within one month from the date tender or a part thereof has been accepted by the NewSpace India  Limited would constitute a default on the part of the bidder and that this Ban k Guarantee is liable to be invoked and encashed within its validity by the Beneficiary in case of any occurrence of a default on the part of the bidder and that the encashed amount is liable to be forfeited by the Beneficiary This agreement shall be vali d and binding on this Bank upto and inclusive of    mention here the date of validity of Guarantee and shall not be terminable by notice or by Guarantor change in the constitution of the Bank or the firm of bidder or by any reason whatsoever and our liability hereunder shall not be impaired or discharged by any extension of time or variations or alternations made given  conceded with or without our knowledge or consent by or between the bidder and the NSIL ,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Encashment,Outlines the conditions under which the guarantee amount can be claimed.,The beneficiary may invoke the guarantee by presenting a written demand for encashment.
Notwithstanding anything contrary contained in any law for the time being in force or banking practice this Guarantee shall not be assignable transferable by th e beneficiary ie NSIL  Notice or invocation by any person such as assignee transferee or agent of beneficiary shall not be entertained by the Bank Any invocation of the Guarantee can be made only by the beneficiary directly NOTWITHSTANDING anything contained hereinbefore our liability under this guarantee is,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Governing Law,Specifies the jurisdiction under which the guarantee is governed.,This guarantee shall be governed by the laws of Singapore.
restricted to Rs     Amt of EMD Rupees        in words Our Guarantee shall remain in force till     Date of validity of the Guarantee Unless demands or claims under this Bank Guarantee are made to us in writing on or before   Date of validity of the Guarantee all rights of Beneficiary under this Bank Guarantee shall be forfeited and we shall be released and discharged from all liabilities there under Place Date  Please mention here Complete Postal Address of the Bank with Branch Code Telephone and Fax Nos SIGNATURE OF THE BANKS AUTHORISED SIGNATORY WITH OFFICIAL ROUND SEAL NAME OF DESIGNATED BANKS Note 1  The Bank Guarantee BG Shall be from the Nationalize Banks or any other Banks as Notified by the Finance,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Format for Advance Bank Guarantee ABG For the purpose of verificationconfirmation of this Bank Guarantee by the Owner the Bank shall indicate 2 official email ids of the authorized signatories from Issuing Branch and also of the designated higher office Corporate Office Zonal Office etc in the covering letter of the Bank forwarding the Bank Guarantee Bank Guarantee No  Date Contract No Name of Contract,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
against furnishing of an irrevocable bank guarantee for amount of Amount in figures and words By this letter we the undersigned insert name  address of the issuing bank  a Bank which expression shall include its successors administrators executors and assigns organized under the laws of  and having its RegisteredHead Office at insert address of registered office of the bank do hereby irrevocably and unconditionally guarantee repayment of Amount of the bank guarantee in figures and words upon the first demand of the Owner without demur reservation recourse dispute protest delay proof condition cavil or argument and without in any way first pursuing or exhausting any other rights or remedies which Owner may have against the Contractor in the event that the Contractor fails to commence or fulfill its obligations under the terms of the said Contract for reasons whatsoever Any such demand made by the Owner shall be conclusive,Onerous,"Onerous clause due to the following reason(s): The clause requires the bank to honor the guarantee without placing any conditions, which removes the bankÃ¢â‚¬â„¢s ability to verify legitimacy before paying. The use of 'irrevocably' binds the bank to the guarantee until its expiry, limiting the bankÃ¢â‚¬â„¢s flexibility to exit or alter the terms. This phrase waives the bankÃ¢â‚¬â„¢s right to object or seek clarification, which is highly unfavorable and risky.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
tribunal arbitrator or any other authority or court Bank agrees that the guarantee herein contained shall be irrevocable and shall continue to be enforceable till this Guarantee is discharged by Owner Provided always that the Banks obligation shall be limited to the amount of this Bank Guarantee or an amount equal to the outstanding balance of the Advance Payments and the accrued interest on the Advance Payments taking into account such amounts which have been repaid by the Contractor from time to time in accordance with the terms of payment of the said Contract andor Contract as certified by you This Guarantee shall remain valid effective and in full force from the date upon which the said Advance Payments are received by the Contractor up to ninety 90 days beyond the Time for Completion as may be extended on which the entire Advance Payments along with the accrued interest if any due thereon has been fully adjusted in terms of the Contract andor Contract This Guarantee may be extended from time to time as may be,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Financial Obligation,Guarantees financial payments such as advance payments or loan repayments.,"This guarantee secures an advance payment of $1,000,000 to the contractor."
desired by Ms RTCL on whose behalf this Guarantee has been issued Any claims to be made under this Guarantee must be received by the Bank during its period of validity ie upto ninety 90 days beyond the Time for Completion by the Owner ie upto and inclusive of  ddmmyy On receiving the claim notice from the Owner the Bank shall make the payment of the guaranteed amount as per the details mentioned in the claim notice no later than 1 Business day from the date of receipt of the claim notice from the Owner The Bank agrees and acknowledges that a this Guarantee is a valid up to claim expiry date and will remain in force until written claim or demand is served upon the Bank on or before the claim expiry date b the claim notice shall be conclusive evidence of the Banks liability to pay under this Guarantee and the Bank shall not be entitled to challenge or question the grounds on which such amounts have become payable or the claim notice has been issued c the guaranteed amount shall be paid by the Bank without any protest,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
or delay or condition in clear funds by crediting the bank account set out in the claim notice of the Owner in full without any setoff or counterclaim and free and clear of and without any deduction or withholding of any nature whatsoever and d this Guarantee shall not be affected impaired discharged or waived by i any changes in the constitution of the Bank ii by the liquidation winding up dissolution change of constitution insolvency or any other arrangement with the creditors of the Contractor and shall in all respects and for all purposes be binding and operative until payment of guaranteed amount under this Guarantee or until the claim expiry date whichever is earlier and iii any variation amendment or waiver of the Agreement Owner shall have the fullest liberty without affecting in any way the liability of the Bank under this Guarantee from time to time to extend the guarantee period basis any extensions made under the CONTRACT Owner shall have the fullest liberty without affecting this Guarantee to postpone,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
either to enforce or to forbear to enforce any covenants contained and implied in the CONTRACT or any other course or remedy or security available to the Owner The Bank shall not be released of its obligations under these presents by any exercise by the Owner of its liberty with reference to the matters aforesaid or any of them or by reason or any other act or forbearance or other acts of omission or commission on the part of the Owner or any other indulgence shown by the Owner or by any other matter or thing whatsoever which under law would but for this provision have the effect of relieving the Bank The Bank also agrees that the Owner at its option shall be entitled to enforce this Guarantee against the Bank as a principal debtor in the first instance without proceeding against the Contractor and notwithstanding any security or other guarantee that the Owner may have in relation to the Contractors liabilities The Bank represents and warrants,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
that it has the authority and capacity to issue this Guarantee and that this Guarantee constitutes valid legal and binding obligations of the Bank enforceable against it in accordance with the terms hereof If any of the provisions of this Guarantee become invalid or unenforceable in any respect under any law the validity and enforceability of the remaining provisions shall not in any way be affected or impaired This Guarantee may not be amended or modified or varied without the prior written consent of the Bank the Owner and the Contractor Neither the Bank nor the Owner shall assign their rights or transfer their rights or obligations under this Guarantee Notices or other communication required or permitted to be made hereunder shall be in writing and delivered personally or by registered post acknowledgement due or by internationally recognized courier service addressed to the intended recipient at the address of the recipient set out below a If,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
to the Bank Insert Address b If to the Owner Unit No 101 First Floor Windsor Village Kole Kalyan off CST Road Vidyanagari Marg Santacruz East Mumbai Maharashtra  400098 or such other notice details which the Bank or the Owner may notify to the others with 5 five business days prior written notice Any such notice or communication shall be in English and shall be deemed to have been served a if sent by hand delivery by a person when delivered b if sent by courier then on the receipt of the courier by the Bank and c if sent by registered post acknowledgement due then on acknowledgment in the due course of the post Notwithstanding anything contained herein 1 Our liability under this Bank Guarantee shall not exceed  value in figures  value in words 2 This Bank Guarantee shall be valid upto validity date,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
3 We are liable to pay the guaranteed amount or any part thereof under this Bank Guarantee only  only if we receive a written claim or demand on or before  validity date  For and on behalf of the Bank Signature of the authorised signatoryies Signature Name Designation POA Number Contact Numbers TelMobile Fax Number email  Common Seal of the Bank Witness Signature Name Address Contact Numbers TelMobile email,Onerous,"Onerous clause due to the following reason(s): By accepting liability to pay regardless of defaults by the applicant, the bank assumes principal risk.",Other,Any clauses that do not fit into standard categories.,Format-related statements or instructions for submission.
Format for Contract Performance Bank Guarantee CPBG Dated INSERT Bank Guarantee No INSERT Date INSERT BG Amount Rs PLEASE INSERT VALUE Validity PLEASE INSERT DATE To RAPP Transmission Company Limited RTCL Unit No 101 First Floor Windsor Village Kolekalyan off CST Road Vidyanagari Marg Kalina Santacruz East Mumbai  400098 India Ms RAPP Transmission Company Limited hereinafter referred to as the Beneficiary or RTCL which expression shall unless repugnant to the context or meaning thereof include its successors administrators and permitted assigns has awarded to  hereinafter referred to as the Contractor which expression shall unless repugnant to the context or meaning thereof include its successors administrators executers and permitted assigns a Contract Contract dated INSERT for the entire Dismantling Destrining Transportation To And From,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
Store Supply Civil Works Erection And Commissioning Services For Shifting Of 400 Kv Transmission Lines  Towers the Project This has been accepted by the Contractor in accordance with the terms and conditions of the Contract Basis this the Contractor is required to procure a bank guarantee for INSERT AMOUNT and furnish the same to the Beneficiary Accordingly with reference to the above INSERT NAME OF BANK a company incorporated and registered under the Companies Act INSERT and a banking company within the meaning of section 5c of the Banking Regulation Act 1949 having its registered office at INSERT and having a Branch office among other places at INSERT Bank the Bank shall hereby provide this bank guarantee Guarantee in terms of the CONTRACT to secure the performance of obligations of the Contractor in respect of all obligations and,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
liabilities of the Contractor under the CONTRACT Bank hereby guarantee to pay the Beneficiary an amount up to Rs INSERT Rupees INSERT Guaranteed Amount subject to the following terms and conditions 1 The Bank irrevocably and unconditionally undertakes as its principal absolute independent and primary obligation to pay to RTCL without demur reservation recourse dispute protest delay proof or condition without in any way first pursuing or exhausting any other rights or remedies which RTCL may have against the Contractor andor without any reference to the Contractor on receipt of a written claim notice from the Beneficiary on or prior to INSERTClaim Expiry Date for an amount not exceeding the Guaranteed Amount,Onerous,"Onerous clause due to the following reason(s): The clause requires the bank to honor the guarantee without placing any conditions, which removes the bankÃ¢â‚¬â„¢s ability to verify legitimacy before paying. The use of 'irrevocably' binds the bank to the guarantee until its expiry, limiting the bankÃ¢â‚¬â„¢s flexibility to exit or alter the terms. This phrase waives the bankÃ¢â‚¬â„¢s right to object or seek clarification, which is highly unfavorable and risky.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
Note The above date should be a period of at least 3 months post the expiry of the initial validity period of the relevant bank guarantee as provided in the CONTRACT 2 Any such demand made by RTCL to the Bank shall be conclusive and binding notwithstanding any difference between the RTCL and the Contractor or any dispute pending before any court tribunal arbitrator or any other authority or court Bank agrees that the guarantee herein contained shall be irrevocable and shall continue to be enforceable till this Guarantee is discharged by RTCL 3 This Guarantee shall be valid and effective on and from the date of issuance ie INSERT Guarantee Validity Date and shall remain valid irrevocable and in force until INSERT Guarantee Period Note This date should be validity period identified in the CONTRACT ie till completion of Defects Notification Period We are liable to,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
pay the Guaranteed Amount or any part thereof under this Bank Guarantee only and only if you serve upon us as written claim or demand on or before Claim Expiry Date This Guarantee shall become null and void and shall have no force or effect whatsoever if the claim is made after the Claim Expiry Date Provided however that if any claim notices is so served within the Guarantee Period this Guarantee shall continue to be in force and effect in respect of the amount so claimed until the earlier of a the payment being made to RTCL in terms of this Guarantee or b obligation of the Bank in respect thereof is finally determined in court or otherwise and the payment of the obligation so determined is made to RTCL 4 On receiving the claim notice in accordance with the provisions of Clause 1 above the Bank shall make the payment of the Guaranteed Amount as per the details,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
mentioned in the claim notice no later than 1 Business day from the date of receipt of the claim notice 5 The Bank agrees and acknowledges that a this Bank Guarantee is a valid up to Claim Expiry Date and will remain in force until written claim or demand is served upon the Bank on or before the Claim Expiry Date b the claim notice shall be conclusive evidence of the Banks liability to pay under this Guarantee and the Bank shall not be entitled to challenge or question the grounds on which such amounts have become payable or the claim notice has been issued c the Guaranteed Amount shall be paid by the Bank without any protest or delay or condition in clear funds by crediting the bank account set out in the claim notice in full without any setoff or counterclaim and free and clear of and without any deduction or withholding of any nature whatsoever d this Guarantee,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
binding and operative until payment of Guaranteed Amount under this Guarantee or until the Claim Expiry Date whichever is earlier and iii any variation amendment or waiver of the of the Agreement 6 RTCL shall have the fullest liberty without affecting in any way the liability of the Bank under this guarantee from time to time to extend the Guarantee Period basis any extensions made under the CONTRACT RTCL shall have the fullest liberty without affecting this Guarantee to postpone from time to time the exercise of any power vested in them or of any right which they might have against the Contractor and to exercise the same at any time in any manner and either to enforce or to forbear to enforce any covenants contained and implied in the CONTRACT or any other course or remedy or security available to RTCL The Bank shall not be released of its obligations under these presents by any exercise by RTCL of,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Expiry,Defines the date until which the guarantee remains valid.,"This guarantee shall remain valid until December 31, 2025."
its liberty with reference to the matters aforesaid or any of them or by reason or any other act or forbearance or other acts of omission or commission on the part of RTCL or any other indulgence shown by RTCL or by any other matter or thing whatsoever which under law would but for this provision have the effect of relieving the Bank 7 The Bank also agrees that RTCL at its option shall be entitled to enforce this Guarantee against the Bank as a principal debtor in the first instance without proceeding against the Contractor and notwithstanding any security or other guarantee that RTCL may have in relation to the Contractors liabilities 8 The Bank represents and warrants that it has the authority and capacity to issue this Guarantee and that this Guarantee constitutes valid legal and binding obligations of the Bank enforceable against it in accordance with the terms hereof 9 If any of the provisions,Onerous,"Onerous clause due to the following reason(s): This indicates the guarantee will be honored regardless of other contractual terms or disputes, which overrides protective clauses.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
of this Guarantee become invalid or unenforceable in any respect under any law the validity and enforceability of the remaining provisions shall not in any way be affected or impaired 10 This Guarantee may not be amended or modified or varied without the prior written consent of the Bank RTCL and the Contractor 11 Neither the Bank nor RTCL shall assign their rights or transfer their rights or obligations under this Guarantee 12 Notices or other communication required or permitted to be made hereunder shall be in writing and delivered personally or by registered post acknowledgement due or by internationally recognized courier service addressed to the intended recipient at the address of the recipient set out below a If to the Bank Insert Address b If to RTCL Unit No 101 First Floor Windsor Village Kole Kalyan off CST Road Vidyanagari Marg Santacruz East Mumbai Maharashtra  400098 or such other,Neutral,"Neutral clause as it adheres to standard bank guarantee practicesthe language does not impose unconditional obligations, does not waive legal rights, and allows the bank to assess and respond to demands with due diligence.",Performance,Ensures the supplier fulfills contract obligations; may be invoked for non-performance.,"If the supplier fails to meet the delivery schedule, the performance guarantee shall be forfeited."
