Paragraph,Clause Type,Clause Meaning,Clause Example
Rupees only ii This Bank Guarantee is valid up to  and iii We are liable to pay the guaranteed amount or any part thereof under this Bank Guarantee only and only if you serve upon us a written claim or demand on or before mention period of guarantee as found under clause ii above plus claim period   Dated day of 20,Expiry and Claim Period,,"This combination clause dictates two main elements. The ""Expiry"" part specifies the validity period of the bank guarantee, indicating until when the guarantee can be enforced. The ""Claim Period"" part details the timeframe within which a claim must be made to enforce the guarantee once the validity (expiry date) is reached. This ensures clarity on when the rights under the guarantee can no longer be exercised."
FORMAT FOR BANK GUARANTEE TOWARDS SECURITY DEPOSIT AND PERFORMANCE GUARANTEE To be submitted on Rs 500  non judicial stamp paper  Bank Guarantee No   dated ,Format Requirement,,"Format Requirement clauses specify the formal requirements that must be met for the documentation of a bank guarantee. These requirements can include the type of document, specific monetary figures denoted on legal documents like stamp papers, and the presentation or structure of the bank guarantee itself. These clauses ensure that the guarantee is legally compliant and enforceable within the jurisdiction where it is issued."
Dear Sirs In consideration of Ms Rashtriya Chemicals and Fertilizers Limited hereinafter referred to as  RCF which expression unless repugnant to the context and meaning thereof shall include its successors and assigns having agreed to exempt Ms having its registeredprincipal office at  hereinafter referred to as  Supplier  Contractor  which expression unless repugnant to the context and meaning thereof shall includ e its successors and assigns from depositing with RCF a sum of Rs towards security  performance guarantee in lieu of the said Supplier  Contractor having agreed to furnish an irrevocable bank guarantee for the said sum of Rs  as r equired under the terms and conditions of Contract  Work Order  Purchase Order no,Performance Guarantee,,"A Performance Guarantee clause involves a commitment by a bank to ensure the contractor or supplier fulfills their contractual obligations under the terms of the contract. If the contractor fails to meet the terms specified in the contact, the entity benefiting from the guarantee (in this case, Rashtriya Chemicals and Fertilizers Limited) can claim the guaranteed amount from the bank. The bank guarantee serves as a security for satisfactory completion of the contractor's obligations, reducing financial risk for the project owner."
 dated  hereinafter referred as the  Order  placed by RCF on the said supplier  contractor we   hereinafter referred to as the Bank  which expression shall include its successors and assigns do hereby undertake to pay RCF an amount not exceeding Rs  Rupees   on demand made by RCF on us due to a breach committ ed by the said Supplier  Contractor of the terms and conditions of the Order ,Demand Clause,,"A demand clause in a bank guarantee stipulates that the guarantor (the bank) undertakes to pay the beneficiary (usually the client or project owner) a specified amount upon demand, should certain conditions be met, such as a breach of contract by the third party (the supplier or contractor in this context). This clause is crucial as it details the circumstances under which the guarantee can be invoked."
1 We  the Bank hereby undertake to pay the amount under the guarantee without any demur merely on a demand received in writing from RCF stating that the Supplier   Contractor has committed breach of the terms andor conditions contained in the Order andor failed to comply with the terms and conditions as stipulated in the Order or amendments thereto The demand made on the Bank by RCF shall be conclusive as t o the breach of the terms andor conditions of the Order and the amount due and payable by the Bank under this guarantee notwithstanding any dispute or disputes raised by the said Supplier  Contractor regarding the validity of such breach and we agre e to pay the amount so demanded by RCF forthwith and without any demur However our liability under this guarantee shall be restricted to an amount not exceeding Rs  Rupees  ,Demand Clause,,"A demand clause in a bank guarantee specifies the conditions under which the guarantor (the bank) is obliged to make payment under the guarantee. It typically outlines that upon receipt of a written demand stating certain conditions (e.g., breach of contract) from the beneficiary, the bank must pay without delay and without requiring further proof or investigation, assuming the truth of the claim as presented by the beneficiary. This clause makes the bank guarantee a straightforward and quick means for beneficiaries to secure compensation or performance adherence."
2 We  the Bank further agree  that this irrevocable guarantee herein contained shall remain in full force and effect during the period that would be taken for the performance of the said Order and that it shall continue to be enforceable till all the dues of RCF under or by virtue of the said Order have been fully paid and its claim satisfied or discharged or till RCF certifies that the terms and conditions of the Order have been fully and properly carried out by the Supplier  Contractor and accordingly discharge the guarantee,Expiry,,"The Expiry clause in a bank guarantee specifies the duration for which the guarantee will remain valid and under what conditions it will cease to be enforceable. It outlines the event or timeline after which the guarantee is terminated, ensuring that the beneficiary is aware of the timeframe within which they should make any claims under the guarantee."
3 We   the Bank  undertake to pay to RCF any money so demanded notwithstanding any dispute or disputes raised by the said Supplier  Contractor in any suit or proceedings pending before any court or tribunal relating thereto as our liability und er this present being absolute and unequivocal The payment so made by us under this Guarantee shall be valid discharge of our liability for payment there under and the said Supplier  Contractor shall have no claim against us for making such payment,Payment Obligation,,"The Payment Obligation clause in a bank guarantee specifies the conditions under which the guarantor (bank) must fulfill its obligation to make payment under the guarantee, regardless of any disputes or litigation involving the underlying transaction or contract parties. It emphasizes that the bank's obligation to pay is absolute and not contingent on external factors such as disputes or legal proceedings."
4 We  the Bank further agree that RCF shall have full liberty without our consent and without affecting in any manner our obligation hereunder to vary any of the terms and conditions of the Order or to extend time of performance by the said Supplier  Contractor from time to time or to postpone for any time or from time to time any of the powers exercisable by the RCF against the said Supplier  Contractor and to forbear or enforce any of the terms and conditions relating to the Order and s hall not be relieved from our liability by reason of any such variation or extension being granted to the said Supplier  Contractor or for any forbearance act or omission on the part of RCF or any indulgence by RCF to the Supplier  Contractor or by any such matter or thing whatsoever which under the law relating to sureties would but for this provisions have effect of so relieving us,Waiver of Defenses,,"The Waiver of Defenses clause in a bank guarantee ensures that the guarantor (the bank) agrees to honor the guarantee without the ability to decline payment based on changes or variations in the underlying contract between the beneficiary and the principal. This clause explicitly prevents the bank from using changes in the contractual terms, extensions of deadlines, or any acts of forbearance or indulgence granted by the beneficiary to the principal as a reason to avoid fulfilling their obligation under the guarantee."
5 In order to give full effect to this guarantee RCF will be entitled to act as if the BANK were the principal debtor and the BANK hereby waives all rights of surety ship,Waiver of Rights,,This clause type in a bank guarantee refers to the situation where the guarantor (the BANK in this context) relinquishes specific legal rights or defenses that it might normally have had. This is typically done to strengthen the guarantee by limiting the guarantor's ability to evade payment obligations under the guarantee.
6 Our liability under this bank guarantee is restricted to Rs  Rupees  and shall remain in force up to  and thereafter till the expiry of the extended peri od if any hereinafter Validity period Unless a demand is made under this guarantee on us in writing at any time from the date of issue of the guarantee till the expiry of the Validity period we shall be discharged from all liabilities under this guar antee thereafter,Expiry,,"An expiry clause in a bank guarantee specifies the date or event upon which the guarantee will cease to have effect. This clause sets a finite limit on the time during which the guarantee can be invoked, after which the guarantor's liabilities under the guarantee will be discharged."
7 The claim if any under this guarantee shall be lodged at address of BANK  Branch ,Claim Lodgement,,A Claim Lodgement clause specifies where and how claims related to the guarantee should be submitted. It defines the exact location or process through which the beneficiary must lodge a claim to action the bank guarantee.
8 This guarantee will not be discharged due to change in the constitution in the Bank or the said Supplier  Contractor or the provision of the contract between Supplier  Contractor and RCF,Continuity,"The Continuity clause in a bank guarantee ensures that the guarantee remains valid and enforceable despite any changes in the constitution or structure of the involved parties, including the bank or the beneficiary. This is essential to ensure the stability and reliability of the guarantee, irrespective of internal changes, thereby providing security to the beneficiary.","""Notwithstanding any change in the constitution of the Bank or the client, or any absorption, merger, or amalgamation of the Bank or the client with any other person, this guarantee shall be binding upon the Bank and its successors and assigns."""
9 The BANK hereby agrees that the Courts in Mumbai shall have exclusive jurisdiction in any matter of dispute between RCF and the Bank and the Bank hereby agree s to address all the future correspondence in regard to this bank guarantee to Chief Finance Manager Rashtriya Chemicals and Fertilizers Limited Administrative Building Mahul Road Chembur Mumbai 400 074 INDIA,Governing Law and Jurisdiction,,This type of clause specifies which country's law will apply to the interpretation of the contract and which courts have the authority to hear any disputes that arise under the contract. It is crucial for providing certainty regarding the legal framework and procedural rules that will govern the contract disputes.
10 We have the power to issue this Gua rantee in your favour under the Charter of our Bank and the undersigned has full power to execute this Guarantee under the Power of Attorney granted to him by the Bank,Authority to Issue,"This clause type confirms that the issuing party (the bank) has the legal right and power to issue the guarantee, and that the person signing the guarantee is authorized to do so under the law or internal regulations such as a corporate charter or power of attorney. This ensures that the guarantee is valid and enforceable, preventing disputes over its legitimacy or the execution authority of the signatory.","""This Guarantee is issued under the authority granted by the Articles of Association of [Bank Name] and the signatory hereto is duly empowered to execute this Guarantee as per the Power of Attorney dated [Date]."""
11 We  the Bank lastly undertake not to revoke this guarantee during it s currency except with the previous consent of the RCF in writing,Irrevocability,,"An irrevocability clause ensures that the bank guarantee cannot be revoked or cancelled without the consent of the beneficiary (in this case, the RCF). This type of clause provides security to the beneficiary that the guarantee will remain in effect until it expires, unless they agree otherwise."
Yours faithfully  For and on behalf of  bank Signature of Authorised Official of bank Name of the Offi cial Designation of the Official Name of Bank Branch Address of Branch Telephone  Mobile No  Fax No Email Id,Signature Block,,"The signature block in a contract or official document is the section where signatories from the involved parties authenticate the document. This portion typically includes the names, titles, and other pertinent identifiers of the individuals who have the authority to execute the document on behalf of their respective entities. The signature authenticates the document, indicating approval and agreement to the terms outlined therein."
LIST OF RCF APPROVED BANKERS FOR BANK GUARANTEES  A Nationalised Banks 13 Nos,Eligibility,,"This type of clause specifies which entities are eligible to issue a bank guarantee, outlining acceptable institutions that can provide such financial securities. It serves to ensure that the guarantee is issued by a financial institution that meets certain criteria of reliability and recognition as defined by the beneficiary."
1 Bank of Baroda includes erstwhile Dena Bank  Vijaya Bank 2 Bank of India 3 Bank of Maharashtra 4 Canara Bank includes erstwhile Syndicate Bank 5 Central Bank of India 6 Indian Bank include erstwhile Allahabad Bank 7 Indian Overseas Bank 8 Punjab  Sind Bank 9 Punjab National Bank include erstwhile Oriental Bank of Commerce  Union Bank of India 10 State Bank of India 11 UCO Bank 12 Union Bank of India includes erstwhile Andhra Bank  Corporation Bank 13,Definition Clause,,"A definition clause in a contract or legal document outlines the precise meanings attributed to certain terms used within the document, ensuring clarity and uniformity in interpretation. Definition clauses are crucial for eliminating ambiguity and providing clear references that can be universally understood by all parties throughout the document."
8 IDFC Bank 9 Indusind Bank Ltd 10 Jammu  Kashmir Bank Ltd,Not a Bank Guarantee Clause,"The given text appears to list entities (possibly banks) rather than providing a specific legal provision or operational clause typically found in a bank guarantee context. A bank guarantee clause would stipulate specific obligations, conditions, or operational instructions regarding the guarantee. It appears that the text provided has been either miscategorized or misinterpreted if considered as a clause within a bank guarantee.",N/A
14 Page 9 of 22 15 RBL Bank Ltd 16 South Indian Bank Ltd,Misidentification,"This seems to not be a meaningful clause related to the functionality or terms of a bank guarantee. Instead, it appears to be a misidentification, perhaps referencing page numbers and bank names, which does not correspond to standard legal or operational clauses in bank guarantees. A clause of this nature might be included erroneously or refer to formatting or document organization rather than substantive legal content.","N/A - Real clauses related to bank guarantees include details like ""The guarantee shall remain valid until [date],"" or ""This guarantee is governed by the laws of [jurisdiction]."""
2 Bank of America 3 Bank of America National Trust  Saving Association 4 Bank of Tokyo  Mitsubishi UFJ Ltd,Misclassification,"The provided text does not represent a standard or identifiable clause related to bank guarantees but appears to be a list or enumeration of bank names, likely misinterpreted as a clause. In contract law and bank guarantees, clauses are specific provisions or sections within a document that stipulate the rights, obligations, and conditions each party agrees to. A typical clause should outline certain terms relevant to the context of the guarantee (such as conditions of activation, validity, claims, etc.).",
5 Barclays Bank PLC 6 BNP Paribas 7 Calyon Bank 8 Citibank NA,Identification of Parties,,This clause type identifies the entities involved as issuers of the bank guarantee. It specifies the names of the banks that are either providing the guarantee or are otherwise involved in the transaction regarding the guarantee. This helps in clarifying which financial institutions are responsible for honoring the commitments outlined in the guarantee.
9 Deutsche Bank 10 Development Bank of Singapore DBS 11 Emirates Bank NBD 12 Hongkong  Shanghai Banking corporation Ltd,"It appears there might be some confusion or a misinterpretation of the given ""clause."" The information provided looks more like a listing or indexing of various banks rather than a coherent clause that relates specifically to any contractual obligation or typical clause categories found in bank guarantees.",,
13 JP Morgan Chase Bank 14 Royal Bank of Scotland 15 Standard Chartered Bank,Unclear/Unidentified,,"The provided text appears to list names of banks, but does not clearly define any conventional guarantee clause type such as Expiry, Demand, or Governing Law. A clause should typically direct or bind action, set out permissions, requirements, or restrictions relevant to the legal framework of the bank guarantee. The context in which the names of these banks are mentioned is necessary to specify the exact nature of the clause."
TAX COMPLIANCE CLAUSES  VendorSupplierContractor declares that 1 VendorSupplierContractor shall submit documents related to GST Registration such as GST Registration certificatecertificates active as on date of participation in the tender and also supporting documents if the VendorSupplierContractor Contractor is registered under Composition Scheme If unregistered under GST give a declaration to that effect,Compliance,,"Compliance clauses in contracts, especially in bank guarantees, require that the parties involved adhere to certain regulations, legal requirements, or standards as a condition of the contract. These clauses ensure that all contractual activities are conducted in accordance with the relevant laws and policies, thereby mitigating risks associated with non-compliance."
2 VendorSupplierContractor shall notify the company if it ceases at any time to be registered under GST and also if obtains a new GST registration,Notification Requirement,,"A Notification Requirement clause in a contract or bank guarantee requires one party to inform the other party about certain specific changes or events by a stipulated method and within a set timeframe. This ensures that both parties remain adequately informed about circumstances that could affect their rights, obligations, or the execution of the contract."
3 If VendorSupplierContractor is having multiple GST registrations should intimate the company from which GSTIN  invoices will be preferred,Operational or Notification Requirement,,"An operational or notification requirement clause in the context of bank guarantees involves stipulations that dictate certain administrative or procedural obligations that the involved parties must adhere to for the guarantee's validity or operational effectiveness. These typically include notifications, communications, and specific actions the parties must undertake as part of the administrative process of the contract."
4 VendorSupplierContractor shall submit the periodicity of filing GST returns applicable to him,Compliance or Regulatory Requirement,,"This type of clause specifies the obligations of the parties involved in the contract to adhere to legal or regulatory standards relevant to their business operations. It ensures that the contractor, supplier, or vendor complies with specific statutory requirements, which in this case is related to tax reporting."
5 VendorSupplierContractor shall intimate the company about applicability of e invoicing SAC HSN codes for the goods services supplied by him along with the applicable GST rate as on date of participation in tender If due to any subsequent amendmentnotification under GST Act there is any change in the tax rates vendor shall update the company for the same by submitting such n otification,Taxation and Compliance Clause,,"A Taxation and Compliance Clause in a contract or bank guarantee specifies the responsibilities of the parties regarding adherence to tax laws and regulations. This includes detailing how changes in tax law should be addressed, which party bears particular tax liabilities, and how tax-related information must be communicated between parties."
6 VendorSupplierContractor Contractor shall ensure timely submission of InvoicesBill of Supply Receipt Voucher or  any other document  as per rules regulations of GST Act with all required supporting documents within a period specified i n Contracts LOA,Submission Requirements,,"""Submission Requirements"" clauses in bank guarantees or contracts specify the obligations of the parties involved regarding the submission of necessary documents and supportive evidence within a specified timeframe. It ensures that the workflows and approvals within contractual agreements are based on timely and complete information, facilitating smoother transaction processing and compliance with regulatory or agreed terms."
7 Vendor shall submit separate invoices for services rendered based on companys request for necessary compliance under GST as the case may be,Invoicing Requirement,,"This type of clause specifies the conditions and requirements related to the submission of invoices by a vendor. It typically outlines how invoices should be formatted, the timing for submission, and any specific details that must be included on the invoice to comply with legal or contractual obligations."
8 The vendor undertakes to file all required Returns deposit taxes and details required to be sub mitted under GST laws  rules as per due dates prescribed The vendor also agrees to do all things including providing invoices or other documentation in such form and detail that may be necessary to enable or assist the company to claim or verify any Inpu t Tax Credit set off rebate or refund in relation to any GST payable under the Agreement enteredWork OrderPurchase Order 9 All necessary adjustment vouchers such as Credit Notes  Debit Notes for any shortexcess supplies or revision in prices or for an y other reason under the Contract shall be submitted to the company as per GST Act provisions,Compliance Obligations,,"Compliance Obligations clauses in contracts, including bank guarantees, specify the responsibilities of the parties involved to adhere to legal and regulatory requirements that affect their operations, transactions, or partnership. These obligations ensure that actions, documentation, and reporting procedures conform to relevant laws and standards, thereby protecting the contractual parties from legal risks and penalties for non-compliance."
10 Advance payments  VendorSupplierContractor should issue Receipt vouchers immediately on receipt of advance payment and subsequently issue supplies along tax i nvoice after adjusting advance payments as per Contractual terms and GST Act Provisions,Utilization of Payment,,"This clause type outlines how received payments, particularly advance payments, should be utilized and documented in accordance with the contract’s requirements and relevant legal provisions. It ensures transparency and proper accounting between the parties involved by setting guidelines for issuing necessary documentation confirming receipt and utilization of funds."
11 Acceptance Deemed Acceptance of E way bill for FOR deliveries should not be construed as acceptance of the material by the company and the company reserves the right to inspect the material and rejections if any would be subsequently adjusted by the Vendor by issuing Credit note for shortagesrejections,Acceptance and Rejection,,This type of clause specifies the conditions under which goods or services are considered accepted or rejected by the buyer. It outlines the rights of the buyer to inspect the goods upon delivery and reject them if they do not meet the specified criteria. Such clauses safeguard the buyer's interest by allowing them a period after delivery to confirm that the goods comply with the agreed specifications or standards.
12 The company reserves a right to review the Vendor supplier invoices to ensure that they are GST compliant and in ca se of any discrepancy observed the supplier shall arrange to submit tax compliant invoice only upon which payment shall be processed,Compliance Verification Clause,,"A compliance verification clause specifies the conditions under which one party agrees to verify the adherence of the other party to specific regulatory, legal, or contractual standards. This type of clause is pivotal in ensuring that transactions or processes comply with relevant laws or regulations before moving forward with any further actions such as payments or fulfillment of contract terms."
13 VendorSupplierContractor would promptly pay GST for the supplies made to the company and would upload returns within t he prescribed time as per GST Act,Compliance Obligation,,"A Compliance Obligation clause in a bank guarantee or a contract generally refers to a section where one party agrees to adhere to certain laws, regulations, or standards within the framework of the contractual agreement. This includes complying with the statutory requirements applicable to the goods or services provided under the contract."
14 In the event of default on his part in payment of tax and submission  uploading of monthly returns the company is well within its powers to withhold payments especially the tax portion until VendorSupplierContractor  corrects the default gets the shortcomings rectified at his own cost and  or complies with the requirements of GST Act and produces satisfactory evidence to that effect or upon invoice debit notecredit note appearing in GSTR2A of the Company on the GS T portal,Remedial Action,,"A Remedial Action clause stipulates actions that need to be taken by one party to remedy a non-compliance or breach under specified circumstances, often before other contractual obligations, such as payments, are fulfilled or resumed by the other party. It typically includes conditions that must be met for compliance and may specify the types of evidence required to prove such compliance."
15 In case GST credit is delayed denied to the company and reversed subsequently as per GST law due to nondelayed receipt of goods andor services andor tax invoice or expiry of timeline prescribed in GST Law for availing such ITC non payment o f taxes or non filing of returns or any other reason not attributable to the company GST amount shall be recoverable from VendorSupplierContractor along with interest levied leviable on the company by GST authority,Indemnification,,"Indemnification clauses in bank guarantees or contracts generally require one party to compensate the other for certain damages or losses. This kind of clause is intended to protect against financial liabilities that may arise due to specific failures, non-compliance, or other agreed-upon conditions not being met by one of the parties."
16 In the event of delay in getting ITC  to the company due to reasons attributable to the VendorSupplierContractor the company reserves the right to recover interest at 12 on the tax credit so available for the number of days the ITC was delayed The company may recover such amount from,Indemnity,,"An indemnity clause in a bank guarantee or contractual agreement specifies that one party (generally the vendor, supplier, or contractor) is liable to reimburse the other party (usually the client or company) for certain costs or damages. This type of clause is aimed at compensating the benefitted party for losses attributable to the actions or failures of the indemnifying party."
the Security Deposit or any such Deposit  Credit Balance  future payments Accordingly the company will raise InvoiceDebit note on the VendorSupplierContractor,** Payment Obligation,,"** A Payment Obligation clause in a bank guarantee stipulates the conditions under which one party (typically the vendor, supplier, or contractor) is required to make financial compensations. These could be in the form of deposits, credits, or other types of payments as defined in the underlying contract or agreement."
17 In case the short coming is not rectified by the VendorSupplierContractor and the company ends up in reversal of credits and  or payments VendorSupplierContractor is fully liable for making good all the loss including interest on the tax credit so available for the number of days the ITC was denied,Liability,"This type of clause defines the responsibilities and liabilities of the parties involved, particularly concerning the obligations for indemnities or compensations in cases of failure to meet contractual commitments. Such clauses determine the extent to which one party must compensate another in the event of a breach of contract or failure to perform specified duties, including circumstances that may lead to financial losses.","""In the event of any breach of contractual obligations by the Contractor, the Contractor shall indemnify and hold the Company harmless from any losses, damages, or liability incurred by the Company, including all reasonable legal fees and costs of litigation."""
18  In case of any GST liability arising on the company under reverse charge VendorSupplierContractor shall ensure timely submission of invoice In case of goods such invoices should not be more than 30 days old and in case of services not more than 60 days old so as to facilitate the company to  discharge GST liability on the due dates as prescribed under GST Law In case of any default towards discharge of GST liability under reverse charge by the company due to any lapses on account of vendor the applicable interestpenalty etc will be recove red from the vendor,Liability and Indemnification,,"This clause type pertains to outlining responsibilities and potential financial obligations that one party (in this case, the vendor) holds towards another (the company) in specific circumstances. It defines the actions required by one party to mitigate damages and specifies the consequences of failing to fulfill such obligations. The main purpose is to hold a party accountable for particular costs, liabilities, or damages that arise from their actions or negligence."
19 In case of receiving any notice  intimation from GST authority to the company towards non compliance by the vendor payments will be withheld for all outstanding bills and bills received subsequently from the vendor till the time  n ecessary rectification has been carried out by the vendor and proof of the same has been submitted to the company,Withholding Provision,,"A withholding provision in a bank guarantee or contract involves conditions under which payment obligations may be suspended or delayed. This typically happens when certain compliance requirements are not met by one of the parties involved. The reason for withholding payment is usually to ensure compliance with legal, regulatory, or contractual requirements before the release of funds."
20 Any late delivery ie delivery after the due date or delay in submission of invoices or any other delays attracts payment of damages by th e vendor  contractor as agreed mutually  It is agreed by the vendorsupplier Contractor that such damages become recoverable by the company with applicable GST thereon,Damages,,"This type of clause specifies the consequences or penalties for non-compliance with the terms of the contract, such as late delivery or delays in submission of required documents. It often stipulates the calculation and the conditions under which the damages are to be paid."
21 In case the GST rating of vendor on the GST portal  Govt official website is negat ive  black listed then the bids may be rejected by the company Further in case rating of bidder is negative  black listed after award of work for supply of goods  services then the company shall not be obligated or liable to pay or reimburse GST to such vendor and shall also be entitled to deduct  recover such GST along with all penalties  interest if any incurred by the company,Performance Conditions,,"Performance conditions in a contract or bank guarantee specify prerequisites or criteria related to the performance of the party receiving the guarantee, which must be fulfilled to maintain the validity of the contract or to execute certain rights under it. These conditions are designed to mitigate risks by linking performance or compliance to certain terms with the rights and obligations stipulated in the agreement."
22 The company reserves the right to suspend  cancel  terminate the contract in the event of frequent  multiple  repe ated defaults by the VendorSupplierContractor in complying with the requirements as per GST Law and VendorSupplierContractor shall be put under Holiday list as mentioned in the Contract,Termination,,"A termination clause in a contract allows one or both parties to end the contract before its natural expiry. This can be triggered by various predefined conditions, such as non-compliance, repeated defaults, or other significant breaches of the agreement terms."
