Paragraph,Classification,Explanation
hereinafter called the Bank are bound unto the employer for the sum of Rs Rupeesonly for which payment well and truly to be made to the said Employer the Bank binds itself its successors and assigns by these presents,Neutral,"The clause standardly binds the bank to its financial commitment towards the employer, without introducing additional or excessive obligations on the bank. It outlines the guarantee scope without imposing undue burdens."
THE CONDITION of  this obligation is  If the b idder withdraws  or am ends the ir offer of empanelment before  finalization of empanelment by the employer   We undertake to pay to the Employer up to the above amount upon receipt of his first written demand without the Employer having to substantiate his demand provided that in his demand the Employer will note that the amount claimed by him is due to him owing to the occurrence the above condition,Onerous,"The clause obligates the guarantor to pay upon the employer's first demand without substantiation, increasing potential liabilities for the guarantor."
Notwithstanding anything contained herein  i Our liability under this Bank Guarantee shall not exceed Rs,Neutral,"The clause limits the bank's liability, which is a standard practice to manage risks and expectations, thereby neutral for both parties involved in the transaction."
Rupees only ii This Bank Guarantee is valid up to  and iii We are liable to pay the guaranteed amount or any part thereof under this Bank Guarantee only and only if you serve upon us a written claim or demand on or before mention period of guarantee as found under clause ii above plus claim period   Dated day of 20,Neutral,"The clause standardly requires a written claim within a specific timeframe, aligning with common practice in bank guarantees without imposing excessive burdens."
FORMAT FOR BANK GUARANTEE TOWARDS SECURITY DEPOSIT AND PERFORMANCE GUARANTEE To be submitted on Rs 500  non judicial stamp paper  Bank Guarantee No   dated ,Neutral,"The clause specifies the format and stamp duty requirement for a Bank Guarantee, which is a standard procedural requirement and does not impose unfair terms on the parties involved."
Dear Sirs In consideration of Ms Rashtriya Chemicals and Fertilizers Limited hereinafter referred to as  RCF which expression unless repugnant to the context and meaning thereof shall include its successors and assigns having agreed to exempt Ms having its registeredprincipal office at  hereinafter referred to as  Supplier  Contractor  which expression unless repugnant to the context and meaning thereof shall includ e its successors and assigns from depositing with RCF a sum of Rs towards security  performance guarantee in lieu of the said Supplier  Contractor having agreed to furnish an irrevocable bank guarantee for the said sum of Rs  as r equired under the terms and conditions of Contract  Work Order  Purchase Order no,Neutral,"The clause facilitates the replacement of a cash deposit with a bank guarantee, which is a standard risk management practice in contracts."
 dated  hereinafter referred as the  Order  placed by RCF on the said supplier  contractor we   hereinafter referred to as the Bank  which expression shall include its successors and assigns do hereby undertake to pay RCF an amount not exceeding Rs  Rupees   on demand made by RCF on us due to a breach committ ed by the said Supplier  Contractor of the terms and conditions of the Order ,Neutral,"Standard clause committing the bank to pay only for specified supplier or contractor breaches, typical in bank guarantees, limiting bank’s liability to agreed terms."
1 We  the Bank hereby undertake to pay the amount under the guarantee without any demur merely on a demand received in writing from RCF stating that the Supplier   Contractor has committed breach of the terms andor conditions contained in the Order andor failed to comply with the terms and conditions as stipulated in the Order or amendments thereto The demand made on the Bank by RCF shall be conclusive as t o the breach of the terms andor conditions of the Order and the amount due and payable by the Bank under this guarantee notwithstanding any dispute or disputes raised by the said Supplier  Contractor regarding the validity of such breach and we agre e to pay the amount so demanded by RCF forthwith and without any demur However our liability under this guarantee shall be restricted to an amount not exceeding Rs  Rupees  ,Onerous,"The clause allows RCF to demand payment based solely on their declaration of breach, without requiring evidence, making it heavily biased against the Supplier/Contractor."
2 We  the Bank further agree  that this irrevocable guarantee herein contained shall remain in full force and effect during the period that would be taken for the performance of the said Order and that it shall continue to be enforceable till all the dues of RCF under or by virtue of the said Order have been fully paid and its claim satisfied or discharged or till RCF certifies that the terms and conditions of the Order have been fully and properly carried out by the Supplier  Contractor and accordingly discharge the guarantee,Onerous,"This clause extends the guarantee until all obligations are fulfilled or officially discharged, placing prolonged liability on the bank."
3 We   the Bank  undertake to pay to RCF any money so demanded notwithstanding any dispute or disputes raised by the said Supplier  Contractor in any suit or proceedings pending before any court or tribunal relating thereto as our liability und er this present being absolute and unequivocal The payment so made by us under this Guarantee shall be valid discharge of our liability for payment there under and the said Supplier  Contractor shall have no claim against us for making such payment,Onerous,"The clause obligates the bank to pay regardless of disputes, making its liability absolute and removing the supplier’s right to claim against such payments, heavily favoring the beneficiary."
4 We  the Bank further agree that RCF shall have full liberty without our consent and without affecting in any manner our obligation hereunder to vary any of the terms and conditions of the Order or to extend time of performance by the said Supplier  Contractor from time to time or to postpone for any time or from time to time any of the powers exercisable by the RCF against the said Supplier  Contractor and to forbear or enforce any of the terms and conditions relating to the Order and s hall not be relieved from our liability by reason of any such variation or extension being granted to the said Supplier  Contractor or for any forbearance act or omission on the part of RCF or any indulgence by RCF to the Supplier  Contractor or by any such matter or thing whatsoever which under the law relating to sureties would but for this provisions have effect of so relieving us,Onerous,"This clause imposes strict obligations on the bank, reducing flexibility by committing it to uphold the guarantee regardless of changes or extensions in the contract terms or delays in enforcement."
5 In order to give full effect to this guarantee RCF will be entitled to act as if the BANK were the principal debtor and the BANK hereby waives all rights of surety ship,Onerous,"The clause allows RCF to treat the bank as the primary debtor, waiving the bank’s rights as a guarantor, increasing liability and reducing protective legal recourse typically available to guarantors."
6 Our liability under this bank guarantee is restricted to Rs  Rupees  and shall remain in force up to  and thereafter till the expiry of the extended peri od if any hereinafter Validity period Unless a demand is made under this guarantee on us in writing at any time from the date of issue of the guarantee till the expiry of the Validity period we shall be discharged from all liabilities under this guar antee thereafter,Neutral,"The clause clearly limits liability to a specified amount and outlines a specific duration for claims, standard in bank guarantees, without introducing additional burdensome terms."
7 The claim if any under this guarantee shall be lodged at address of BANK  Branch ,Neutral,"This clause merely specifies where claims should be lodged, imposing no excessive burden or unfair terms on the guarantor or beneficiary. It establishes standard procedural requirements."
8 This guarantee will not be discharged due to change in the constitution in the Bank or the said Supplier  Contractor or the provision of the contract between Supplier  Contractor and RCF,Neutral,"This clause ensures continuity of the guarantee despite any changes in the constitution of the parties involved, maintaining the guarantee's effectiveness and obligation without adding burdensome conditions."
9 The BANK hereby agrees that the Courts in Mumbai shall have exclusive jurisdiction in any matter of dispute between RCF and the Bank and the Bank hereby agree s to address all the future correspondence in regard to this bank guarantee to Chief Finance Manager Rashtriya Chemicals and Fertilizers Limited Administrative Building Mahul Road Chembur Mumbai 400 074 INDIA,Neutral,"This clause primarily outlines procedural aspects regarding jurisdiction and communication, without imposing additional substantial responsibilities or liabilities on the parties involved."
10 We have the power to issue this Gua rantee in your favour under the Charter of our Bank and the undersigned has full power to execute this Guarantee under the Power of Attorney granted to him by the Bank,Neutral,"This clause simply confirms the authority of the issuer and signatory, ensuring compliance with legal and institutional frameworks, imposing no unfair conditions on either party."
11 We  the Bank lastly undertake not to revoke this guarantee during it s currency except with the previous consent of the RCF in writing,Neutral,"This clause commits the bank to the guarantee without revocation, aligning with standard banking practices, ensuring reliability and stability for the beneficiary. It doesn't impose unfair terms on the bank."
Yours faithfully  For and on behalf of  bank Signature of Authorised Official of bank Name of the Offi cial Designation of the Official Name of Bank Branch Address of Branch Telephone  Mobile No  Fax No Email Id,Neutral,"This clause simply outlines the official signatory details for communication and verification purposes, and does not impose any burdensome terms or conditions."
LIST OF RCF APPROVED BANKERS FOR BANK GUARANTEES  A Nationalised Banks 13 Nos,Neutral,"This clause merely identifies a specific list of approved institutions, limiting the banks that can provide guarantees without adding burdensome terms."
1 Bank of Baroda includes erstwhile Dena Bank  Vijaya Bank 2 Bank of India 3 Bank of Maharashtra 4 Canara Bank includes erstwhile Syndicate Bank 5 Central Bank of India 6 Indian Bank include erstwhile Allahabad Bank 7 Indian Overseas Bank 8 Punjab  Sind Bank 9 Punjab National Bank include erstwhile Oriental Bank of Commerce  Union Bank of India 10 State Bank of India 11 UCO Bank 12 Union Bank of India includes erstwhile Andhra Bank  Corporation Bank 13,Neutral,This clause merely lists the names of banks and their mergers; it does not impose any burdens or obligations on the parties involved.
8 IDFC Bank 9 Indusind Bank Ltd 10 Jammu  Kashmir Bank Ltd,Neutral,"The clause simply lists banks, possibly as approved issuers of a guarantee. It does not impose any burdensome terms or obligations by itself."
14 Page 9 of 22 15 RBL Bank Ltd 16 South Indian Bank Ltd,Neutral,"This clause seems to refer to page numbers and bank names, likely a standard reference with no binding or demanding conditions imposed on any party."
2 Bank of America 3 Bank of America National Trust  Saving Association 4 Bank of Tokyo  Mitsubishi UFJ Ltd,Neutral,"The clause merely lists names of financial institutions, indicating involvement without imposing any obligations, conditions, or liabilities typical of an onerous clause."
5 Barclays Bank PLC 6 BNP Paribas 7 Calyon Bank 8 Citibank NA,Neutral,"This clause simply lists various banks, likely as approved issuers or parties, and imposes no unfair or burdensome conditions on any party involved in the guarantee."
9 Deutsche Bank 10 Development Bank of Singapore DBS 11 Emirates Bank NBD 12 Hongkong  Shanghai Banking corporation Ltd,Neutral,"The clause merely lists various bank names, providing no terms or conditions that impose burdens or obligations, hence it is considered neutral."
13 JP Morgan Chase Bank 14 Royal Bank of Scotland 15 Standard Chartered Bank,Neutral,"This clause simply lists names of banks, likely indicating approved institutions for transactions. It specifies no duties, risks, or liabilities, hence is considered neutral."
TAX COMPLIANCE CLAUSES  VendorSupplierContractor declares that 1 VendorSupplierContractor shall submit documents related to GST Registration such as GST Registration certificatecertificates active as on date of participation in the tender and also supporting documents if the VendorSupplierContractor Contractor is registered under Composition Scheme If unregistered under GST give a declaration to that effect,Neutral,"This clause requires standard documentary proof of GST compliance, a common and reasonable request for ensuring tax law adherence by parties in commercial contracts."
2 VendorSupplierContractor shall notify the company if it ceases at any time to be registered under GST and also if obtains a new GST registration,Neutral,"This clause requires mere notification of GST status changes, imposing minimal obligations on the VendorSupplierContractor without significant burden or risk."
3 If VendorSupplierContractor is having multiple GST registrations should intimate the company from which GSTIN  invoices will be preferred,Neutral,"The clause simply requires notification of preferred GSTIN for invoicing purposes, thereby not imposing additional burdens or unusual responsibilities on the VendorSupplierContractor."
4 VendorSupplierContractor shall submit the periodicity of filing GST returns applicable to him,Neutral,"Requiring submission of GST return periodicity is a standard procedural requirement for tax compliance, not imposing excessive burdens beyond typical regulatory obligations."
5 VendorSupplierContractor shall intimate the company about applicability of e invoicing SAC HSN codes for the goods services supplied by him along with the applicable GST rate as on date of participation in tender If due to any subsequent amendmentnotification under GST Act there is any change in the tax rates vendor shall update the company for the same by submitting such n otification,Neutral,"This clause requires simple notification of invoicing details and updates on tax rate changes, imposing a reasonable obligation to maintain clear and current financial communication."
6 VendorSupplierContractor Contractor shall ensure timely submission of InvoicesBill of Supply Receipt Voucher or  any other document  as per rules regulations of GST Act with all required supporting documents within a period specified i n Contracts LOA,Neutral,"This clause standardizes invoicing compliance as per GST regulations, imposing no excessive or unfair obligations on the contractor, merely aligning with legal and contractual timelines."
7 Vendor shall submit separate invoices for services rendered based on companys request for necessary compliance under GST as the case may be,Neutral,"The clause standardly requires separate invoicing for services, aligning with typical administrative procedures for compliance, and imposes no disproportionate or unfair obligations on the vendor."
8 The vendor undertakes to file all required Returns deposit taxes and details required to be sub mitted under GST laws  rules as per due dates prescribed The vendor also agrees to do all things including providing invoices or other documentation in such form and detail that may be necessary to enable or assist the company to claim or verify any Inpu t Tax Credit set off rebate or refund in relation to any GST payable under the Agreement enteredWork OrderPurchase Order 9 All necessary adjustment vouchers such as Credit Notes  Debit Notes for any shortexcess supplies or revision in prices or for an y other reason under the Contract shall be submitted to the company as per GST Act provisions,Onerous,"Imposes strict compliance and documentation responsibilities on the vendor, enhancing liability and effort, particularly under potentially complex GST rules."
10 Advance payments  VendorSupplierContractor should issue Receipt vouchers immediately on receipt of advance payment and subsequently issue supplies along tax i nvoice after adjusting advance payments as per Contractual terms and GST Act Provisions,Neutral,"This clause requires standard administrative actions (issuing vouchers and adjusting invoices) that align with common business practices and regulatory compliance, imposing no excessive burden."
11 Acceptance Deemed Acceptance of E way bill for FOR deliveries should not be construed as acceptance of the material by the company and the company reserves the right to inspect the material and rejections if any would be subsequently adjusted by the Vendor by issuing Credit note for shortagesrejections,Neutral,"The clause reasonably allows the company to inspect goods post-delivery without deeming acceptance by mere receipt, ensuring rights for material quality and compliance are upheld, thus protecting both parties' interests."
12 The company reserves a right to review the Vendor supplier invoices to ensure that they are GST compliant and in ca se of any discrepancy observed the supplier shall arrange to submit tax compliant invoice only upon which payment shall be processed,Neutral,"This clause is reasonable, promoting compliance with tax laws and ensuring all invoices satisfy GST requirements before payment, representing standard fiscal diligence rather than imposing undue burden."
13 VendorSupplierContractor would promptly pay GST for the supplies made to the company and would upload returns within t he prescribed time as per GST Act,Neutral,"The clause obliges the vendor to comply with standard GST laws, which is a common practice and does not impose additional unusual or unfair burdens on the contractor."
14 In the event of default on his part in payment of tax and submission  uploading of monthly returns the company is well within its powers to withhold payments especially the tax portion until VendorSupplierContractor  corrects the default gets the shortcomings rectified at his own cost and  or complies with the requirements of GST Act and produces satisfactory evidence to that effect or upon invoice debit notecredit note appearing in GSTR2A of the Company on the GS T portal,Onerous,"The clause imposes strict compliance and rectification responsibilities on the vendor at their own cost, potentially delaying payment significantly, which could be burdensome."
15 In case GST credit is delayed denied to the company and reversed subsequently as per GST law due to nondelayed receipt of goods andor services andor tax invoice or expiry of timeline prescribed in GST Law for availing such ITC non payment o f taxes or non filing of returns or any other reason not attributable to the company GST amount shall be recoverable from VendorSupplierContractor along with interest levied leviable on the company by GST authority,Onerous,"Imposes financial liability on the Vendor/Supplier/Contractor for circumstances largely beyond their direct control, such as delays in GST credit not attributable to them."
16 In the event of delay in getting ITC  to the company due to reasons attributable to the VendorSupplierContractor the company reserves the right to recover interest at 12 on the tax credit so available for the number of days the ITC was delayed The company may recover such amount from,Onerous,"Imposes high interest penalty (12%) on Vendor/Supplier/Contractor for delays not directly within their control, potentially leading to significant financial liability."
the Security Deposit or any such Deposit  Credit Balance  future payments Accordingly the company will raise InvoiceDebit note on the VendorSupplierContractor,Onerous,"The clause burdens the Vendor/Supplier/Contractor with potential future financial liabilities through invoice or debit notes, implying unexpected costs or deductions from deposits or future payments."
17 In case the short coming is not rectified by the VendorSupplierContractor and the company ends up in reversal of credits and  or payments VendorSupplierContractor is fully liable for making good all the loss including interest on the tax credit so available for the number of days the ITC was denied,Onerous,"This clause imposes strict liability on the VendorSupplierContractor for losses and interest due to unrectified shortcomings, potentially incurring substantial financial obligations."
18  In case of any GST liability arising on the company under reverse charge VendorSupplierContractor shall ensure timely submission of invoice In case of goods such invoices should not be more than 30 days old and in case of services not more than 60 days old so as to facilitate the company to  discharge GST liability on the due dates as prescribed under GST Law In case of any default towards discharge of GST liability under reverse charge by the company due to any lapses on account of vendor the applicable interestpenalty etc will be recove red from the vendor,Onerous,"Imposes strict invoice submission timelines on vendors and transfers financial liability for penalties due to non-compliance, increasing risk and potential costs for the vendor."
19 In case of receiving any notice  intimation from GST authority to the company towards non compliance by the vendor payments will be withheld for all outstanding bills and bills received subsequently from the vendor till the time  n ecessary rectification has been carried out by the vendor and proof of the same has been submitted to the company,Onerous,"Holds vendor's payments indefinitely for GST non-compliance, until rectification and proof are provided, potentially causing financial strain without timely resolution processes specified."
20 Any late delivery ie delivery after the due date or delay in submission of invoices or any other delays attracts payment of damages by th e vendor  contractor as agreed mutually  It is agreed by the vendorsupplier Contractor that such damages become recoverable by the company with applicable GST thereon,Onerous,"This clause is strict as it penalizes the vendor/contractor for delays, including those beyond their control, with financial damages and additional GST on those damages."
21 In case the GST rating of vendor on the GST portal  Govt official website is negat ive  black listed then the bids may be rejected by the company Further in case rating of bidder is negative  black listed after award of work for supply of goods  services then the company shall not be obligated or liable to pay or reimburse GST to such vendor and shall also be entitled to deduct  recover such GST along with all penalties  interest if any incurred by the company,Onerous,"This clause imposes strict penalties and withholding of payments if the vendor's GST rating is negative, putting significant risk and potential financial burden on the vendor."
22 The company reserves the right to suspend  cancel  terminate the contract in the event of frequent  multiple  repe ated defaults by the VendorSupplierContractor in complying with the requirements as per GST Law and VendorSupplierContractor shall be put under Holiday list as mentioned in the Contract,Onerous,"The clause imposes strict penalties on the vendor for repeated compliance failures, including contract termination and potentially severe business restrictions by placing them on a 'Holiday list'."
Debarment of firms from Bidding HolidayDe listingBlack listing 1 Debarment is classified under following two types i In cases where debarment is proposed to be limited to only RCF the appropriate Orders can be issued by RCF thereby banning all its business dealing with  the debarred firm,Onerous,"Allows unilateral debarment of a firm by RCF, restricting rights to participate in business dealings, which could substantially impact the firm’s operations and opportunities without recourse."
ii Where it is proposed to extend the debarment beyond the jurisdiction to RCF ie covering to all central Ministries Departments the requisite Orders shall be issued by Department of Expenditure DoE Ministry of Finance MoF,Neutral,"This clause establishes procedural steps involving jurisdictional extension of a debarment, handled by specific, appropriate government bodies, implying due process without imposing unfair burdens on involved parties."
Defini tions 2 Firm The term firm or bidder has the same meaning for the purpose of these Guidelines Which includes an individual o r person a company a cooperative society a Hindu undivided family and an association or body of persons whether incorpora ted or not engaged in trade of business,Neutral,"This clause simply defines the term ""firm"" or ""bidder"" broadly for clarity and inclusivity in the context of the guidelines, without imposing additional obligations or risks."
3 Allied firm All concerns which come within the sphere of effective influence of the debarred firms shall be treated as al lied firms In determining this the following factors may be taken into consideration a Whether the management is common,Onerous,"It expands the scope of liability to potentially affiliated firms based on broad and subjective criteria such as common management, increasing risks and obligations for the guarantor."
b Majority interest in the management is held by the partners or directors of banned suspended firm,Onerous,"This clause extends the guarantee's risks to management's personal affiliations, potentially complicating claims and adding liability based on the actions or statuses of associated firms' directors."
c Substantial or majority shares are owned by the bannedsuspended firm and by virtue of this it has a controlling voice,Onerous,"Imposes stringent ownership conditions on the firm, linking control to shares owned by banned/suspended entities, which can limit operational flexibility and increase compliance complexities."
d Directly or indirectly controls or is controlled by or is under common control with another bidder,Onerous,"This clause restricts business relations and bidding options by disallowing partnerships or common control scenarios, potentially limiting competitive opportunities and operational flexibility for bidders."
e All successor firms will also be considered as allied firms,Onerous,"This clause extends obligations to successor firms indiscriminately, potentially increasing liability and risk for the guarantor, beyond the original scope or intention of the contract with the allied firms."
4 The terms Banning of firm suspension Black Listing etc convey the same meaning as of  Debarment,Neutral,"This clause equates terms without imposing additional obligations or liabilities on the parties, serving merely as a definitional or clarifying element within the contract."
Debarment by RCF Limited to only RCF  5 Orders for Debarment of a firms shall be passed by RCF keeping in view of the following a A bidder or any of its successors may be debarred from participating in any procurement process for a period  not exceeding two years,Onerous,"Imposes significant restrictions on a bidder’s ability to participate in procurement processes for up to two years, potentially impacting business operations and revenue."
b Firms Will be debarred if it is determined that the bidder has breached the code of integrity as per Rule 175 of GFRs 2017 given below  No official of a procuring entity or a bidder shall act in contravention of the codes which in cludes i Prohibition of a Making offer solicitation or acceptance of bribe reward of gift or any material benefit either directly or indirectly in exchange for an unfair advantage in the procurement process or to otherwise influence the procurement process,Neutral,The clause promotes integrity by prohibiting bribery and corruption. It standardizes fair practices without imposing excessive obligations on the bidder.
b Any omission or misrepresentation that may mislead or attempt to mislead so that financial or other benefit may be obtained or an obligation avoided,Onerous,"This clause imposes stringent obligations on the party to avoid any misrepresentations, adding potential liability for merely omitting information, thereby increasing the risk and responsibility of the guarantor."
c Any collusion bid rigging or anticompetitive behavior that may impair the transparency fairness  and the progress of the procurement process,Neutral,"The clause promotes transparency and fairness by discouraging anticompetitive practices, aiming to protect the integrity of the procurement process without imposing undue burdens on any party."
d Improper use of information provided by the procuring entity to the bidder with an intent to gain unfair advantage in the procurement process of for personal gain,Neutral,"This clause prevents misuse of confidential information, thereby maintaining fairness and integrity in the procurement process without imposing excessive obligations on the bidder."
e Any financial or business transactions between  the bidder any any official of the procuring entity related to tender or execution process of contract which can affect the decision of the procuring entity directly or indirectly f Any coercion or any threat to impair or harm directly or indirectly any party or its property to influence the procurement process,Onerous,"This clause imposes strict prohibitions on coercion and unethical transactions, significantly restricting the bidder's engagement with the procuring entity's officials to ensure fairness and transparency."
g Obstruction of any investigation or auditing of a procurement process,Onerous,"This clause imposes a stringent restriction by penalizing any obstruction of audits, increasing risk and potential liability for the guarantor."
h Making false declaration or providing false information for participation in a tender process or to secure a contract,Neutral,"This clause is standard, aiming to uphold integrity by penalizing dishonesty, thereby protecting the parties' legitimate interests without imposing excessive obligations."
iii Disclosure by the bidder of any previous transgression made in respect of the provision of sub  clause i with any entity in any country during the last three years or of being debarred by any other procuring entity,Neutral,"Requesting disclosure of past transgressions ensures transparency and accountability, aligning with general procedural norms without imposing excessive obligations on the bidder."
c  A Bidder can also be debarred for any actions or omissions by the bidder other than violation of code of integrity which in the opinion of RCF warrants debarment for the reasons like supply of sub standard material non supply of material abandonment of works sub standard quality of works failure to abide Bid Securing Declaration etc,Onerous,"The clause grants RCF broad discretion to debar a bidder for various vaguely defined reasons, increasing the risk and potential liability for bidders."
d It shall not be circulated to other Ministries State as well as Centre Departments Central Public Sector Undertaking CPSUs State Public Undertaking It will on ly be applicable to all the attached subordinate offices of RCF,Neutral,"The clause limits the circulation of the guarantee within specific government bounds, thus not imposing additional burdens or excessive obligations on the guarantor."
e Before issuing the debarment order against a firm it must be ensured that reasonable opportunity has been given to the concerned firm to represent against such debarment including perso nal hearing If requested by firm,Neutral,"This clause ensures fairness by requiring that a firm be given a chance to respond before debarment, which is a standard procedural fairness practice."
g CMD can issue an order for revocation of debarment before the period of debarment is over if there is adequate justification for the same,Neutral,"This clause allows flexibility, permitting early revocation of debarment if justified, potentially reducing undue burdens rather than imposing them."
h List of debarred firms will be maintained which will also be displayed of RCFs website for all units of RCF,Neutral,"The clause simply mandates transparency by displaying a list of debarred firms, which does not impose additional burdens or obligations on the principal party."
i Debarment is an executive function and should not be allocated to Vigilance Department,Neutral,"This clause pertains to procedural responsibilities within an organization, affecting internal delegation rather than imposing burdensome conditions directly related to the execution or terms of a bank guarantee."
6  Similarly Government e Marketplace GeM can also debar bidders upto tw o years on its portal as per their rules for GeM Portal hence these debarred firms will not be eligible to participate in RCFs tenders in GeM only,Neutral,"The clause only reflects standard consequences for non-compliance with GeM platform rules, aligning with prevalent marketplace regulations and does not impose unexpected or unfair burdens on the bidders."
Debarment across All Ministries Department Other PSUs State as well as Centre Departments Central P ublic Sector Undertakings CPSUs State Public Sector Undertakings  7 Where RCFs is of the4 view that business dealings with a particular firm should be banned across all the Ministries Departments by debarring the firm from taking part in any bidding procedure floated by RCF then after obtaining the approval of the CMD forward to DoE a self  contained note setting out all the facts of the case and the justification for the proposed debarment along with all the relevant papers and documents through DoF  DoE may issue the necessary orders after satisfying itself that proposed debarment across all the Ministries Departments is in accordance with Rule 151 of GFRs 2017 This scrutiny is intended to ensure uniformity of treatment in all cases Rule 151 of GFRs,Onerous,"The clause enables broad debarment of a firm across all ministries and departments based on RCF's view, creating significant potential restrictions and impacts on the firm's business operations."
2017 is given below   i A Bidder shall be debarred if he has been convicted of an offence a under the Prevention of Corruption Act 1998 or b the Indian Penal Code or any other law for the time being in force for causing any loss of life or property of causing a threat to public health as part of execution of a public Procurement contract,Neutral,"This clause imposes standard legal compliance, disqualifying bidders only if convicted of significant crimes, ensuring ethical conduct without creating excessive burdens on the bidders."
ii A Bidder debarred under sub section i or any successor of the bidder shall not be eligible to participate in a procurement process of any procuring enti ty for a period not exceeding three years commencing form the date of debarment Department of Commerce DGSD will maintain such list which will also displayed on the website of DGSD as well as Central Public Procurement Portal,Onerous,"The clause imposes significant restrictions on debarred bidders and their successors from participating in future procurement, potentially affecting business operations and opportunities."
iii A Procuring process ent ity may debar a bidder or any of its successors from participating in any procurement process undertaken by it for a period not exceeding two years if it determines that the bidder has breached the code of integrity The MinistryDepartment will maintai n such list which will also be displayed on their debarment,Onerous,"This clause allows for debarment based on the procuring entity's determination of a breach, reducing the bidder's ability to contest or appeal, potentially limiting their future business opportunities unfairly."
iv The bidder shall not be debarred unless such bidder has been given a reasonable opportunity to represent against such debarment,Neutral,"The clause safeguards the bidder's right to fair treatment by ensuring a chance to contest a debarment, thus imposing no excessive or unfair conditions on the bidder."
8 The firm will remain in suspension mode ie debarred during the intern period till the final decision taken by DoE only in RCF,Onerous,"The clause imposes a strict limitation on the firm's operational capabilities pending a decision, potentially causing significant financial and reputational damage without immediate recourse."
9 Before forwarding the debarment proposal to DoE through DoF it must be ensured that reasonable opportunity has been given to the concerned firm to represent against such debarment In cluding personal hearing if requested by firm If DoE is of the opinion that sufficient opportunity has not been given to the firm to represent against the debarment such debarment requ ests received from RCF may be rejected by DoE,Neutral,"The clause ensures fairness by requiring that a firm is given adequate opportunity to contest debarment, promoting balanced duties between parties."
10 DoE can also give additional opportunity at their option to firm to represent against proposed debarment DoE can also take suomoto action to debar the firms in certain circumstances,Neutral,"The clause allows voluntary representation against debarment but also grants discretionary power to initiate debarment, balancing both party's interests without excessive burden on either."
11 No contract of any kind whatsoever shall be placed on the debarred firms which wil l be displayed on Central Public Procurement Portal,Neutral,"This clause simply outlines a restriction without imposing additional, unusual liabilities or risks upon one party. It acts as a standard regulatory compliance measure."
